1,3.89385166389632e-05,0.000114150022303205,0.000152592690050189
10,3.89302503224686e-07,1.14123907975884e-06,1.52601578263594e-06
20,9.73086953614512e-08,2.85246384507748e-07,3.81745467878836e-07
30,4.3236531223867e-08,1.26731842570574e-07,1.69842881187568e-07
40,2.43121460954809e-08,7.12545296819555e-08,9.56759373104987e-08
50,1.55535507814502e-08,4.55789861882766e-08,6.13462868206879e-08
100,3.87848041362939e-09,1.13548483902539e-08,1.55628095919094e-08
150,1.72046866197109e-09,5.02937439859354e-09,7.0667663897704e-09
200,9.63742529971495e-10,2.81145550394785e-09,4.09937967420689e-09
250,6.02528444300093e-10,1.75023322239124e-09,2.73864772544053e-09
300,4.03827026839831e-10,1.16272992254076e-09,1.95791932476162e-09
350,3.0234606211472e-10,8.73342864284001e-10,1.63125706102657e-09
400,2.24567782846394e-10,6.35165540869211e-10,1.43245772360896e-09
450,1.78087258024755e-10,5.01425995218583e-10,1.26787136950811e-09
500,1.45722032364642e-10,4.09566196581012e-10,1.21657140434571e-09
550,1.28929325281916e-10,4.08132441053201e-10,1.21945622190563e-09
600,1.49679983183442e-10,5.16816180450716e-10,1.39292991486711e-09
650,2.23874789699577e-10,7.69749869558793e-10,1.76416023671537e-09
700,4.18915579224451e-10,1.4098456374394e-09,2.4891014699042e-09
750,3.78549868292054e-10,1.25325701337901e-09,1.90657123923154e-09
800,2.49639346860767e-10,8.17203333830545e-10,1.15005689088465e-09
850,1.81812706890359e-10,5.86849230867664e-10,7.86173931107341e-10
900,1.44417908031022e-10,4.6129365732592e-10,5.73400778014774e-10
