1,-0.00654599479748172
10,-6.54422283947188e-05
20,-1.636879284516e-05
30,-7.27070746932846e-06
40,-4.08504124646362e-06
50,-2.66511272832544e-06
100,-6.94292857558425e-07
150,-2.98218414393878e-07
200,-1.63602751367436e-07
250,-1.0214817499731e-07
300,-7.26560011507425e-08
350,-5.18386030976573e-08
400,-3.87535198025384e-08
450,-2.59326540812619e-08
500,-2.49587680768059e-08
550,-2.07244436519184e-08
600,-1.67250740574563e-08
650,-1.51557936821737e-08
700,-1.67127705623594e-08
750,-2.10789459117247e-08
800,-2.8781415913287e-08
850,-4.75817551182663e-08
900,-6.97024446411513e-08
