1,0.0269177984446287
10,0.000269178242888302
20,6.72947426210158e-05
30,2.99088042083895e-05
40,1.68238693731837e-05
50,1.07673640741268e-05
100,2.69202382696676e-06
150,1.19658841413184e-06
200,6.7319206209504e-07
250,4.30927457273356e-07
300,2.99310784157569e-07
350,2.19994433336979e-07
400,1.68496313790456e-07
450,1.331528665105e-07
500,1.07911098723434e-07
550,8.92457592271967e-08
600,7.50179864894562e-08
650,6.39287165427049e-08
700,5.52318226709758e-08
750,4.81068802571372e-08
800,4.2252626286654e-08
850,3.74922066725958e-08
900,3.35385301752922e-08
