1,0.0269551868142945
10,0.000269552127142073
20,6.73882141025634e-05
30,2.99503472493895e-05
40,1.68472376621455e-05
50,1.07823199794878e-05
100,2.69576322164953e-06
150,1.19825066941797e-06
200,6.74127336703239e-07
250,4.31526225738562e-07
300,2.99726720574807e-07
350,2.20300234175372e-07
400,1.68730588368978e-07
450,1.33338012185518e-07
500,1.080612003664e-07
550,8.93699566647762e-08
600,7.51224075209639e-08
650,6.40177052468215e-08
700,5.53088174397657e-08
750,4.81739306463384e-08
800,4.23114780654778e-08
850,3.75444901653881e-08
900,3.35854041095121e-08
