1,0.00618168910966007
10,6.18165970738293e-05
20,1.54539304874056e-05
30,6.8682592336241e-06
40,3.86326247695568e-06
50,2.47238249791849e-06
100,6.17877074806294e-07
150,2.74436691233033e-07
200,1.54255762152533e-07
250,9.86097122383749e-08
300,6.8390381091048e-08
350,5.01918017823592e-08
400,3.83120341321052e-08
450,3.02570477877817e-08
500,2.44333528955153e-08
550,2.00992113488899e-08
600,1.68696891407615e-08
650,1.43735987072089e-08
700,1.23570677041487e-08
750,1.06934707518757e-08
800,9.31933645343866e-09
850,8.19216270838894e-09
900,7.26909887026189e-09
