1,0.000128437448281839
10,1.38467456688837e-06
20,3.21162193399982e-07
30,1.42769906070216e-07
40,8.0211458432106e-08
50,5.14134372005249e-08
100,1.40681082513473e-08
150,6.48252122838188e-09
200,3.52576591235154e-09
250,2.26486526691146e-09
300,1.62821139735541e-09
350,1.20290189490051e-09
400,8.94257088542163e-10
450,7.20545028110998e-10
500,6.19037932191497e-10
550,5.29345077535323e-10
600,4.79606479312153e-10
650,4.35005511062011e-10
700,4.29442961263595e-10
750,4.33095347112278e-10
800,4.75439955283192e-10
850,5.65077495179733e-10
900,8.25625143993075e-10
