1,7.1542311381962e-06
10,7.71428527347671e-08
20,1.79061115239042e-08
30,7.97157480532864e-09
40,4.4896875564517e-09
50,2.88763451454229e-09
100,7.9774032019669e-10
150,3.75071163357333e-10
200,2.09509769049981e-10
250,1.48490907873493e-10
300,1.15564724505241e-10
350,9.68097183791296e-11
400,8.26052716111134e-11
450,7.80341259579344e-11
500,7.40776265696447e-11
550,7.13757655430225e-11
600,7.35705964187216e-11
650,7.71280301019711e-11
700,8.40826019238389e-11
750,9.78928392160071e-11
800,1.20580764582604e-10
850,1.60963469211351e-10
900,2.62608750729707e-10
