Time,U1,U2,U3
0.0,0.0,0.0,0.0
0.0133333001285791,2.44284255046523e-08,-9.13929491846077e-16,3.70506795977592e-16
0.0266666002571583,-9.53771195355557e-09,3.89040072739885e-15,-1.5574608676984e-15
0.0399998985230923,1.93272287063451e-09,-8.12974514774857e-15,3.25414875269523e-15
0.0533332005143166,1.74396870278315e-08,1.15173390708443e-14,-4.6313643973497e-15
0.0666664987802505,-1.9201175760486e-08,-1.2296099468484e-14,4.92993249982853e-15
0.0799997970461845,2.46380906787635e-08,9.77649324072471e-15,-3.85475334581365e-15
0.0933331027626991,-9.70008251499621e-09,-4.59778165857344e-15,1.79611769454322e-15
0.106666401028633,2.05062833380509e-09,-1.54936831492033e-15,7.67751616303363e-16
0.119999699294567,1.73552408000432e-08,6.53838496270987e-15,-2.77367545435409e-15
0.133332997560501,-1.91500806323575e-08,-8.6667191435616e-15,3.6762187058067e-15
0.146666303277016,2.46087683564156e-08,7.27855072762441e-15,-3.1413737273066e-15
0.159999594092369,-9.6950278916097e-09,-3.03848865861012e-15,1.40536890223884e-15
0.173332899808884,2.05988825996428e-09,-2.32054967350625e-15,7.80332279031576e-16
0.186666205525398,1.73288103866298e-08,6.65764423706796e-15,-2.48915708737137e-15
0.199999496340752,-1.91140347993723e-08,-8.24695079072605e-15,3.14524890304029e-15
0.213332802057266,2.45618476668596e-08,6.4138918717707e-15,-2.35003023171896e-15
0.22666609287262,-9.6427115181541e-09,-1.81865702951142e-15,5.40013573544244e-16
0.239999398589134,2.0002191014612e-09,-3.83308666653936e-15,1.80808076437377e-15
0.253332704305649,1.73882614973309e-08,8.40095408603109e-15,-3.60493707164699e-15
0.266665995121002,-1.91796960535839e-08,-1.01710479638193e-14,4.32402230408674e-15
0.279999285936356,2.46223805788759e-08,8.48281473818553e-15,-3.67923710771424e-15
0.293332606554031,-9.70908686781513e-09,-3.98421597905436e-15,1.78200549036725e-15
0.306665897369385,2.05920480667032e-09,-1.58552561033978e-15,3.94320015558903e-16
0.319999188184738,1.73236553990819e-08,6.10908706570124e-15,-2.25555598843048e-15
0.333332508802414,-1.91236804170103e-08,-7.85224614279975e-15,2.97682720114885e-15
0.346665799617767,2.45604976356617e-08,6.15243440029345e-15,-2.29983145937464e-15
