1,6.49641107009764e-05
10,6.49612260084908e-07
20,1.62383911802968e-07
30,7.2153099304088e-08
40,4.0576370052235e-08
50,2.5955965851317e-08
100,6.46756251563186e-09
150,2.85841801285277e-09
200,1.60118452215769e-09
250,1.02833182572273e-09
300,7.11501960796357e-10
350,5.23646185892132e-10
400,3.94961684639174e-10
450,3.11906867215222e-10
500,2.53274763922784e-10
550,2.1076668484514e-10
600,1.72193313144767e-10
650,1.5148040462456e-10
700,1.4226052947267e-10
750,1.80202371561159e-10
800,2.48913445417333e-10
850,4.32812186473181e-10
900,1.78355878087802e-09
