1,0.000198745482728527,6.77954666825972e-05,0.000265677456734773
10,2.18907938068267e-06,7.46739754982704e-07,2.9266201033214e-06
20,4.96116338143553e-07,1.6924257183124e-07,6.63594303733175e-07
30,2.20634025923016e-07,7.52680346269188e-08,2.95166275973592e-07
40,1.24217312893379e-07,4.23773791344442e-08,1.66198289014773e-07
50,7.93296841228397e-08,2.70718085632146e-08,1.0658886711724e-07
100,2.04490508017297e-08,6.98324941309593e-09,2.76679620318174e-08
150,9.61145459524008e-09,3.28588515323985e-09,1.31518968042228e-08
200,5.46568682634707e-09,1.87351404866084e-09,7.72012630804613e-09
250,3.33080782196647e-09,1.14225458670245e-09,4.70642363850096e-09
300,2.33368139678084e-09,8.01421698086376e-10,3.42819709137105e-09
350,1.76272931538728e-09,6.0579676061214e-10,2.71511184813631e-09
400,1.2716343273076e-09,4.36574157610306e-10,2.22701823479627e-09
450,9.37639598231952e-10,3.26058513909884e-10,1.819874597426e-09
500,8.0953006905815e-10,2.79021148418032e-10,1.62430552557214e-09
550,6.53633001905902e-10,2.25137898507434e-10,1.44051086543729e-09
600,5.15720138717962e-10,1.76006752380818e-10,1.23991878047939e-09
650,4.60509045623718e-10,1.60162257301031e-10,1.33121758055732e-09
700,4.92244559582784e-10,1.43171262544215e-10,1.3925189008286e-09
750,6.15506776197277e-10,1.78838151171014e-10,1.55934904369563e-09
800,8.29682834317756e-10,2.42379487906605e-10,1.89553428821778e-09
850,1.3663079998038e-09,3.98812001394526e-10,2.82377634945612e-09
900,2.00270326108078e-09,5.90792573573243e-10,3.46635722301102e-09
