1,0.000265677456734773
10,2.9266201033214e-06
20,6.63594303733175e-07
30,2.95166275973592e-07
40,1.66198289014773e-07
50,1.0658886711724e-07
100,2.76679620318174e-08
150,1.31518968042228e-08
200,7.72012630804613e-09
250,4.70642363850096e-09
300,3.42819709137105e-09
350,2.71511184813631e-09
400,2.22701823479627e-09
450,1.819874597426e-09
500,1.62430552557214e-09
550,1.44051086543729e-09
600,1.23991878047939e-09
650,1.33121758055732e-09
700,1.3925189008286e-09
750,1.55934904369563e-09
800,1.89553428821778e-09
850,2.82377634945612e-09
900,3.46635722301102e-09
