1,6.69319740062459e-05
10,7.37540722638731e-07
20,1.67477965589621e-07
30,7.45322500505758e-08
40,4.19809761213939e-08
50,2.72591829944002e-08
100,7.21891123008774e-09
150,3.5404422089827e-09
200,2.25443948169907e-09
250,1.37561581653449e-09
300,1.09451569459021e-09
350,9.52382532749027e-10
400,9.55383907488661e-10
450,8.82234999194047e-10
500,8.1477545651399e-10
550,7.86877863531384e-10
600,7.24198641761427e-10
650,8.70708534933601e-10
700,9.0027434124582e-10
750,9.43842267498348e-10
800,1.06585145390003e-09
850,1.45746834965233e-09
900,1.46365396193024e-09
