1,0.000198745482728527
10,2.18907938068267e-06
20,4.96116338143553e-07
30,2.20634025923016e-07
40,1.24217312893379e-07
50,7.93296841228397e-08
100,2.04490508017297e-08
150,9.61145459524008e-09
200,5.46568682634707e-09
250,3.33080782196647e-09
300,2.33368139678084e-09
350,1.76272931538728e-09
400,1.2716343273076e-09
450,9.37639598231952e-10
500,8.0953006905815e-10
550,6.53633001905902e-10
600,5.15720138717962e-10
650,4.60509045623718e-10
700,4.92244559582784e-10
750,6.15506776197277e-10
800,8.29682834317756e-10
850,1.3663079998038e-09
900,2.00270326108078e-09
