1,-0.00013095001604593
10,-1.44233962569997e-06
20,-3.26873766312314e-07
30,-1.45365991296097e-07
40,-8.18399337589353e-08
50,-5.22578755596251e-08
100,-1.34658013886337e-08
150,-6.32556944200023e-09
200,-3.59217277768622e-09
250,-2.18855323526403e-09
300,-1.53225969869446e-09
350,-1.15693255477514e-09
400,-8.35060169697299e-10
450,-6.11581084322068e-10
500,-5.30508920640118e-10
550,-4.28495103398469e-10
600,-3.39713386337145e-10
650,-3.00346788322687e-10
700,-3.4907329703857e-10
750,-4.36668625026263e-10
800,-5.87303346411152e-10
850,-9.67495998409272e-10
900,-1.41191068750753e-09
