Time,U3
0.0,0.0
9.99999974737875e-06,3.31859821124417e-20
1.99999994947575e-05,1.77883006455724e-19
2.99999992421363e-05,4.44662312011303e-19
4.24999998358544e-05,9.01374887788701e-19
5.81249987590127e-05,8.0378184437301e-19
7.7656251960434e-05,1.62352624797579e-17
0.000102070313005242,2.32888691292695e-16
0.000132587883854285,1.27377005190515e-15
0.000170734856510535,3.23012414545402e-15
0.000218418572330847,1.34861674186074e-15
0.000278023217106238,-1.62880522464786e-14
0.000352529023075476,-4.61450979695206e-14
0.000445661280537024,5.79171991399105e-15
0.000562076631467789,4.38346733043493e-13
0.000707595783751458,1.98832356829159e-12
0.000889494724106044,6.52852771843015e-12
0.00111686834134161,1.80672282690253e-11
0.00140108552295715,4.33591253179433e-11
0.00175635679624975,9.32092319994027e-11
0.00220044609159231,1.88984647375712e-10
0.00275555765256286,3.79389991644885e-10
0.00344944698736072,7.59846574549528e-10
0.00431680865585804,1.50404289023243e-09
0.00540101109072566,2.9626288089446e-09
0.00675626378506422,5.8246008016738e-09
0.00845032930374146,1.14180620514048e-08
0.010450329631567,2.16060165314502e-08
0.01245032902807,3.64900465399387e-08
0.0144503293558955,5.69505260727965e-08
0.0164503287523985,8.38620977106075e-08
0.018450329080224,1.18083249844858e-07
0.0204503294080496,1.60469070920044e-07
0.0224503297358751,2.1185273624269e-07
0.0244503300637007,2.73060749123033e-07
0.0264503303915262,3.44898495541202e-07
0.0284503288567066,4.28156852194661e-07
0.0304503291845322,5.236088327365e-07
0.0324503295123577,6.32005139777903e-07
0.0344503298401833,7.54080019760295e-07
0.0364503301680088,8.90541230091912e-07
0.0384503304958344,1.04207765616593e-06
0.0404503308236599,1.20935089853447e-06
0.0424503311514854,1.39299913826108e-06
0.0444503277540207,1.59363423790637e-06
0.0464503280818462,1.81183963832154e-06
0.0484503284096718,2.04817274607194e-06
0.0504503287374973,2.3031595901557e-06
0.0524503290653229,2.5772985736694e-06
0.0544503293931484,2.87105581264768e-06
0.056450329720974,3.18486672767904e-06
0.0584503300487995,3.51913513441104e-06
0.0604503303766251,3.8742305150663e-06
0.0624503307044506,4.25049165642122e-06
0.0644503310322762,4.64822051071678e-06
0.0664503276348114,5.06768674313207e-06
0.0684503316879272,5.50912454855279e-06
0.0704503282904625,5.97273310631863e-06
0.0724503323435783,6.45867567072855e-06
0.0744503289461136,6.96708048053551e-06
0.0764503329992294,7.49803984945174e-06
0.0784503296017647,8.05160925665405e-06
0.0804503262042999,8.62780780153116e-06
0.0824503302574158,9.22662002267316e-06
0.084450326859951,9.84799316938734e-06
0.0864503309130669,1.04918381111929e-05
0.0884503275156021,1.11580302473158e-05
0.090450331568718,1.18464085971937e-05
0.0924503281712532,1.25567785289604e-05
0.094450332224369,1.32889072119724e-05
0.0964503288269043,1.40425299832714e-05
0.0984503328800201,1.48173467096058e-05
0.100450329482555,1.56130226969253e-05
0.102450326085091,1.64291886903811e-05
0.104450330138206,1.72654472407885e-05
0.106450326740742,1.81213654286694e-05
0.108450330793858,1.89964757737471e-05
0.110450327396393,1.98902871488826e-05
0.112450331449509,2.08022756851278e-05
0.114450328052044,2.17318847717252e-05
0.11645033210516,2.26785323320655e-05
0.118450328707695,2.36416126426775e-05
0.120450332760811,2.46204872382805e-05
0.122450329363346,2.56144976447104e-05
0.124450325965881,2.66229562839726e-05
0.126450330018997,2.76451573881786e-05
0.128450334072113,2.86803715425776e-05
0.130450323224068,2.97278456855565e-05
0.132450327277184,3.07868103845976e-05
0.134450331330299,3.18564743793104e-05
0.136450335383415,3.29360373143572e-05
0.13845032453537,3.4024673368549e-05
0.140450328588486,3.51215494447388e-05
0.142450332641602,3.6225810617907e-05
0.144450336694717,3.73366019630339e-05
0.146450325846672,3.8453046727227e-05
0.148450329899788,3.95742645196151e-05
0.150450333952904,4.06993713113479e-05
0.152450323104858,4.18274685216602e-05
0.154450327157974,4.29576575697865e-05
0.15645033121109,4.40890362369828e-05
0.158450335264206,4.5220698666526e-05
0.160450324416161,4.6351742639672e-05
0.162450328469276,4.74812622996978e-05
0.164450332522392,4.86083554278594e-05
0.166450336575508,4.97321234433912e-05
0.168450325727463,5.08516786794644e-05
0.170450329780579,5.19661298312712e-05
0.172450333833694,5.30746001459192e-05
0.174450322985649,5.41762237844523e-05
0.176450327038765,5.52701421838719e-05
0.178450331091881,5.63555113330949e-05
0.180450335144997,5.74314981349744e-05
0.182450324296951,5.84972913202364e-05
0.184450328350067,5.95520868955646e-05
0.186450332403183,6.05951026955154e-05
0.188450336456299,6.16255783825181e-05
0.190450325608253,6.26427718088962e-05
0.192450329661369,6.36459517409094e-05
0.194450333714485,6.46344342385419e-05
0.19645032286644,6.56075280858204e-05
0.198450326919556,6.65645857225172e-05
0.200000002980232,6.72947426210158e-05
