1,0.000184466434701428,1.8423849840892e-06,4.60517327279288e-07,2.04616594181376e-07,1.15050986616222e-07,7.35951831275996e-08,1.83210042993064e-08,8.08338943468634e-09,4.49670237394371e-09,2.84739693286797e-09,1.95365644733071e-09,1.41874062940895e-09,1.02282653357806e-09,8.41859311410161e-10,6.78464926914254e-10,5.73800370065986e-10,4.61320573192599e-10,4.05891670060635e-10,4.90461131747e-10,6.27533769696953e-10,9.17765302742303e-10,1.83967382130916e-09,3.49211089768969e-08
10,0.000184466434701428,1.8423849840892e-06,4.60517327279288e-07,2.04616364591835e-07,1.15050749530961e-07,7.35947520331373e-08,1.83192499104368e-08,8.08155639174658e-09,4.49651711173523e-09,2.8349912525236e-09,1.93006298029625e-09,1.38196274496715e-09,1.02282653357806e-09,7.83681028903115e-10,6.0558078533167e-10,4.77100949821416e-10,3.80351915904141e-10,3.19987243428308e-10,3.98725306205729e-10,5.40970708086887e-10,8.20007037341011e-10,1.56821837798098e-09,3.49211089768969e-08
20,0.000184466434701428,1.8423849840892e-06,4.60517327279288e-07,2.04616364591835e-07,1.15050749530961e-07,7.35947520331373e-08,1.83192499104368e-08,8.08155549665714e-09,4.49651711173523e-09,2.83498408139461e-09,1.92990893722209e-09,1.38125097834246e-09,1.02197587329943e-09,7.72325698725003e-10,5.91255524503876e-10,4.56380398868741e-10,3.49495090932888e-10,2.70642655287308e-10,3.37016649566437e-10,4.76575055315533e-10,7.3787140166223e-10,1.46028335950979e-09,3.49211089768969e-08
30,0.000184466434701428,1.8423849840892e-06,4.60517327279288e-07,2.04616364591835e-07,1.15050749530961e-07,7.35947520331373e-08,1.83192499104368e-08,8.0815546015677e-09,4.49651711173523e-09,2.83498408139461e-09,1.92990893722209e-09,1.38123348618286e-09,1.02163978031947e-09,7.71127024781287e-10,5.8748790049272e-10,4.47082229892373e-10,3.35894688560292e-10,2.46169849208888e-10,3.1614017642112e-10,4.37644445644505e-10,6.717166117417e-10,1.38044993972613e-09,3.49211089768969e-08
40,0.000184466434701428,1.8423849840892e-06,4.60517327279288e-07,2.04616364591835e-07,1.15050749530961e-07,7.35947520331373e-08,1.83192498825381e-08,8.08155370647826e-09,4.49651711173523e-09,2.83498408139461e-09,1.92990893722209e-09,1.38123348618286e-09,1.0216351844156e-09,7.70903769807617e-10,5.86486162273113e-10,4.44184651545058e-10,3.29257419472659e-10,2.33657837349499e-10,2.94777544568841e-10,3.98920900317374e-10,6.20276318954016e-10,1.25070576235819e-09,3.49211089768969e-08
50,0.000184466434701428,1.8423849840892e-06,4.60517327279288e-07,2.04616364591835e-07,1.15050749530961e-07,7.35947520331373e-08,1.83192498825381e-08,8.08155281138882e-09,4.49651711173523e-09,2.83498408139461e-09,1.92990893722209e-09,1.38123348618286e-09,1.0216351844156e-09,7.70879555628123e-10,5.86302707700433e-10,4.43300092318554e-10,3.26627909480885e-10,2.26879748294514e-10,2.79110302112206e-10,3.82050562002083e-10,5.81509028857278e-10,1.20009694218195e-09,3.49211089768969e-08
100,0.000184466434701428,1.8423849840892e-06,4.60517327279288e-07,2.04616364591835e-07,1.15050749530961e-07,7.35947520331373e-08,1.83192498825381e-08,8.08155191629939e-09,4.49651711173523e-09,2.83498408139461e-09,1.92990893722209e-09,1.38123348618286e-09,1.0216351844156e-09,7.70876527048853e-10,5.86232140101076e-10,4.42887322176956e-10,3.2524032960359e-10,2.23196616213444e-10,2.74214280535477e-10,3.70019321635242e-10,5.60574475565242e-10,1.16115125397983e-09,3.49211089768969e-08
150,0.000184466434701428,1.8423849840892e-06,4.60517327279288e-07,2.04616364591835e-07,1.15050749530961e-07,7.35947520331373e-08,1.83192498825381e-08,8.08155014005412e-09,4.49651711173523e-09,2.83498408139461e-09,1.92990893722209e-09,1.38123348618286e-09,1.0216351844156e-09,7.70876527048853e-10,5.86227207868962e-10,4.42799017540012e-10,3.24712923522897e-10,2.2122354495593e-10,2.70784094890081e-10,3.58154525293523e-10,5.4344327991115e-10,1.09940279648642e-09,3.49211089768969e-08
200,0.000184466434701428,1.8423849840892e-06,4.60517327279288e-07,2.04616364591835e-07,1.15050749530961e-07,7.35947520331373e-08,1.83192498825381e-08,8.08154923103107e-09,4.49651711173523e-09,2.83498408139461e-09,1.92990893722209e-09,1.38123348618286e-09,1.0216351844156e-09,7.70876527048853e-10,5.86223788619859e-10,4.42757065106581e-10,3.24436092456662e-10,2.20339341040001e-10,2.67159828454376e-10,3.53031512389109e-10,5.32283742544544e-10,1.0766120205997e-09,3.49211089768969e-08
250,0.000184466434701428,1.8423849840892e-06,4.60517327279288e-07,2.04616364591835e-07,1.15050749530961e-07,7.35947520331373e-08,1.83192481202583e-08,8.08154833594163e-09,4.49651711173523e-09,2.83498408139461e-09,1.92990893722209e-09,1.38123348618286e-09,1.0216351844156e-09,7.70876527048853e-10,5.86223396178053e-10,4.42745574956762e-10,3.24303688353246e-10,2.19674285412747e-10,2.66049499967228e-10,3.49403009831426e-10,5.22776527326853e-10,1.05687204893424e-09,3.49211089768969e-08
300,0.000184466434701428,1.8423849840892e-06,4.60517327279288e-07,2.04616364591835e-07,1.15050749530961e-07,7.35947520331373e-08,1.83192481202583e-08,8.08154744085219e-09,4.49651711173523e-09,2.83498408139461e-09,1.92990893722209e-09,1.38123348618286e-09,1.0216351844156e-09,7.70876527048853e-10,5.86223172406333e-10,4.42741847744032e-10,3.24254285917241e-10,2.19610090579e-10,2.65245708309461e-10,3.46837999023782e-10,5.15838726105867e-10,1.02760865766921e-09,3.49211089768969e-08
350,0.000184466434701428,1.8423849840892e-06,4.60517327279288e-07,2.04616364591835e-07,1.15050749530961e-07,7.35947520331373e-08,1.83192481202583e-08,8.08154566460693e-09,4.49651711173523e-09,2.83498408139461e-09,1.92990893722209e-09,1.38123348618286e-09,1.0216351844156e-09,7.70876527048853e-10,5.86223171565036e-10,4.42740642496844e-10,3.24235511765208e-10,2.19409823201047e-10,2.64407159253464e-10,3.44652432618961e-10,5.10322782542647e-10,1.01741800854493e-09,3.49211089768969e-08
400,0.000184466434701428,1.8423849840892e-06,4.60517327279288e-07,2.04616364591835e-07,1.15050749530961e-07,7.35947520331373e-08,1.83192481202583e-08,8.08154475558388e-09,4.49651711173523e-09,2.83498408139461e-09,1.92990893722209e-09,1.38123348618286e-09,1.0216351844156e-09,7.70876527048853e-10,5.86223171565036e-10,4.42740642496844e-10,3.24226125494381e-10,2.19355403742829e-10,2.64155336700641e-10,3.43560630248138e-10,5.06080417880265e-10,1.00749498997042e-09,3.49211089768969e-08
450,0.000184466434701428,1.8423849840892e-06,4.60517327279288e-07,2.04616364591835e-07,1.15050749530961e-07,7.35947520331373e-08,1.83192481202583e-08,8.08154386049444e-09,4.49651711173523e-09,2.83498408139461e-09,1.92990893722209e-09,1.38123348618286e-09,1.0216351844156e-09,7.70876527048853e-10,5.86223171565036e-10,4.42740642496844e-10,3.2422214681832e-10,2.19320539037073e-10,2.63945167203727e-10,3.42516002799106e-10,5.0320940085577e-10,9.94228195567163e-10,3.49211089768969e-08
500,0.000184466434701428,1.8423849840892e-06,4.60517327279288e-07,2.04616364591835e-07,1.15050749530961e-07,7.35947520331373e-08,1.83192480923596e-08,8.08154207031556e-09,4.49651711173523e-09,2.83498408139461e-09,1.92990893722209e-09,1.38123348618286e-09,1.0216351844156e-09,7.70876527048853e-10,5.86223171565036e-10,4.42740642496844e-10,3.24219822033604e-10,2.19290335869538e-10,2.63772669597129e-10,3.4199004425539e-10,5.01430606018933e-10,9.89164375023275e-10,3.49211089768969e-08
550,0.000184466434701428,1.8423849840892e-06,4.60517327279288e-07,2.04616364591835e-07,1.15050749530961e-07,7.35947520331373e-08,1.83192480923596e-08,8.08154117522612e-09,4.49651711173523e-09,2.83498408139461e-09,1.92990893722209e-09,1.38123348618286e-09,1.0216351844156e-09,7.70876527048853e-10,5.86223171565036e-10,4.42740642496844e-10,3.2421867443154e-10,2.19286101656564e-10,2.63695278317703e-10,3.41641404642668e-10,5.00344886007913e-10,9.81291823713651e-10,3.49211089768969e-08
600,0.000184466434701428,1.8423849840892e-06,4.60517327279288e-07,2.04616364591835e-07,1.15050749530961e-07,7.35947520331373e-08,1.83192480923596e-08,8.08154028013668e-09,4.49651711173523e-09,2.83498408139461e-09,1.92990893722209e-09,1.38123348618286e-09,1.0216351844156e-09,7.70876527048853e-10,5.86223171565036e-10,4.42740642496844e-10,3.24217834909229e-10,2.1927905202139e-10,2.63666155576014e-10,3.41298539047627e-10,4.9906413089103e-10,9.78298871821086e-10,3.49211089768969e-08
