1,1.06551547927692e-05,3.12360548336113e-05,4.17557031895238e-05
10,5.64134055741204e-08,1.65380712285995e-07,2.2125773902584e-07
20,1.41054585409397e-08,4.13530399386928e-08,5.54982115245393e-08
30,6.27085163279287e-09,1.83855306305937e-08,2.47558800566514e-08
40,3.52846918891555e-09,1.03461102031262e-08,1.40064911520245e-08
50,2.25922894054906e-09,6.62527366330444e-09,9.03080695460126e-09
100,5.66895877316846e-10,1.66411258202499e-09,2.43868682941284e-09
150,2.53474784115988e-10,7.45288653780791e-10,1.24431506398189e-09
200,1.43757415307538e-10,4.23625810022763e-10,8.08704247755745e-10
250,9.2945137173542e-11,2.74640587519792e-10,6.69319175292673e-10
300,7.21927723514381e-11,2.47029613327723e-10,6.87065618922708e-10
350,1.12461107831002e-10,3.8303448198964e-10,7.43101403226795e-10
400,1.13621261972697e-10,3.66146055355257e-10,5.11679933091069e-10
450,9.05837101188827e-11,2.89637779845696e-10,3.21506390018012e-10
500,6.76410983100982e-11,2.17190407098072e-10,2.17212383151771e-10
550,5.54356458238616e-11,1.71862513416619e-10,1.52862414880772e-10
600,4.20788455674308e-11,1.2700902195104e-10,1.1991599976668e-10
650,3.62134544651406e-11,1.12528714216455e-10,8.88089372893125e-11
700,3.15695802623547e-11,9.78418432354575e-11,7.13352609753605e-11
750,2.70896656957624e-11,8.35535170357558e-11,5.86167634791862e-11
800,2.29389456101797e-11,7.02697998261986e-11,4.82012819661997e-11
850,1.92300717785742e-11,5.84060449957168e-11,4.59850829827301e-11
900,1.74916842960586e-11,5.00928083768008e-11,4.22288286617183e-11
