1,6.77653556269963e-05
10,7.46739754982704e-07
20,1.69264830725709e-07
30,7.52680346269188e-08
40,2.19830522315345e-07
50,1.86566932151995e-07
100,3.78399598423774e-07
150,5.05313550513728e-07
200,5.39134690448596e-06
250,2.92055799445944e-06
300,1.51943161976896e-06
350,5.4105166919654e-07
400,6.38913294639969e-06
450,4.57902293061342e-06
500,5.66519155347375e-05
550,9.1784236578718e-06
600,1.6140660718621e-05
650,1.96940532371058e-06
700,2.08380043920468e-05
750,4.62209682515196e-06
800,1.16076970788874e-05
850,1.43393638723556e-05
900,1.46934187714241e-05
