1,0.000183351177838631,5.16482323291712e-05,0.000246717419940978
10,1.82176063390216e-06,5.13184204464778e-07,2.45168871515489e-06
20,4.55348839523145e-07,1.28278117017544e-07,6.13068721122545e-07
30,2.02315874275911e-07,5.70025555646244e-08,2.72600686912483e-07
40,1.13753898745071e-07,3.20559259137129e-08,1.53416849002497e-07
50,7.27823632474505e-08,2.05134949027358e-08,9.82980807862079e-08
100,1.81120203282446e-08,5.11394260273507e-09,2.4832818468215e-08
150,8.00616906164587e-09,2.26608198878354e-09,1.11295888061678e-08
200,4.53157111903111e-09,1.28255284176365e-09,6.32864827210846e-09
250,2.85883428189711e-09,8.14448897263674e-10,4.24501722687463e-09
300,1.95947014358441e-09,5.61128865883462e-10,3.04388447851525e-09
350,1.44481171842413e-09,4.14470513816509e-10,2.38688491217967e-09
400,1.00573205806233e-09,2.97303015634448e-10,1.9845654010803e-09
450,8.62981522971417e-10,2.50333977280808e-10,1.66213032238093e-09
500,7.11166188548933e-10,2.05888573074791e-10,1.40071554530575e-09
550,5.60563655152484e-10,1.65429107024282e-10,1.35109257569629e-09
600,4.7461601934995e-10,1.40376963425845e-10,1.30612610677918e-09
650,4.24583375958818e-10,1.17575949525243e-10,1.34164879662925e-09
700,5.09180882398981e-10,1.05024385483262e-10,1.35045423159316e-09
750,6.39630055372476e-10,1.30094801113537e-10,1.60731217982017e-09
800,9.32783986796243e-10,1.90776837586542e-10,2.08586911549691e-09
850,1.7585691935095e-09,3.64256859995283e-10,3.54050650108821e-09
900,1.86736857067782e-08,3.92016603516807e-09,3.43692170953447e-08
