1,0.00026590349953718
10,2.65921905871846e-06
20,6.65025511212311e-07
30,2.95694347702505e-07
40,1.66529627955749e-07
50,1.06679198155568e-07
100,2.69647073104281e-08
150,1.22024949835451e-08
200,7.04252061578927e-09
250,4.64480698347444e-09
300,3.37423557646747e-09
350,2.60816122935181e-09
400,2.07299089961032e-09
450,1.79894351677434e-09
500,1.57588346550654e-09
550,1.44377541543398e-09
600,1.38140724080661e-09
650,1.351050870936e-09
700,1.4031010419017e-09
750,1.46139362974514e-09
800,1.78627734272964e-09
850,2.52194262489714e-09
900,3.5424197808212e-09
