1,0.000198050355960885
10,1.9807152899497e-06
20,4.95420518603129e-07
30,2.20321712151617e-07
40,1.24132008107095e-07
50,7.95384539043434e-08
100,2.01786931737847e-08
150,9.18543017611134e-09
200,5.35166657380748e-09
250,3.5572475356769e-09
300,2.61775935659382e-09
350,2.05882991727165e-09
400,1.64540650938481e-09
450,1.4618131808959e-09
500,1.30292198937715e-09
550,1.2199919654401e-09
600,1.18919342736324e-09
650,1.18813813119203e-09
700,1.26124358288791e-09
750,1.29192846391235e-09
800,1.55837263996002e-09
850,2.17064043547464e-09
900,2.96051513989218e-09
