1,0.000198914565075802
10,1.9890423549467e-06
20,4.97182471993167e-07
30,2.20940295532896e-07
40,1.2427776134461e-07
50,7.95564782473117e-08
100,1.98865081593911e-08
150,8.83690206256313e-09
200,4.94476790830619e-09
250,3.17831111505517e-09
300,2.20563142685943e-09
350,1.59870649867357e-09
400,1.24499464088452e-09
450,9.7306670853686e-10
500,7.96017599351448e-10
550,6.58937391726492e-10
600,5.47857783528409e-10
650,4.72082452004817e-10
700,4.67816173687922e-10
750,5.8767830860636e-10
800,7.74795100139496e-10
850,1.20012648952665e-09
900,1.97040945983062e-09
