1,6.78531435762947e-05,0.000198914565075802,0.00026590349953718
10,6.78503768768765e-07,1.9890423549467e-06,2.65921905871846e-06
20,1.69604992609182e-07,4.97182471993167e-07,6.65025511212311e-07
30,7.53726355508879e-08,2.20940295532896e-07,2.95694347702505e-07
40,4.23976198486538e-08,1.2427776134461e-07,1.66529627955749e-07
50,2.71407442512247e-08,7.95564782473117e-08,1.06679198155568e-07
100,6.78601413664342e-09,1.98865081593911e-08,2.69647073104281e-08
150,3.0170648074338e-09,8.83690206256313e-09,1.22024949835451e-08
200,1.69085404198178e-09,4.94476790830619e-09,7.04252061578927e-09
250,1.08755944779754e-09,3.17831111505517e-09,4.64480698347444e-09
300,7.56476219873648e-10,2.20563142685943e-09,3.37423557646747e-09
350,5.49331312080166e-10,1.59870649867357e-09,2.60816122935181e-09
400,4.27584390225506e-10,1.24499464088452e-09,2.07299089961032e-09
450,3.37130335878439e-10,9.7306670853686e-10,1.79894351677434e-09
500,2.72961476129388e-10,7.96017599351448e-10,1.57588346550654e-09
550,2.23783449993871e-10,6.58937391726492e-10,1.44377541543398e-09
600,1.92213813443369e-10,5.47857783528409e-10,1.38140724080661e-09
650,1.62912739743967e-10,4.72082452004817e-10,1.351050870936e-09
700,1.41857459013785e-10,4.67816173687922e-10,1.4031010419017e-09
750,1.69465165832797e-10,5.8767830860636e-10,1.46139362974514e-09
800,2.27904702769615e-10,7.74795100139496e-10,1.78627734272964e-09
850,3.51302189422496e-10,1.20012648952665e-09,2.52194262489714e-09
900,5.81904640929018e-10,1.97040945983062e-09,3.5424197808212e-09
