1,0.000131061421499507
10,1.31053858617794e-06
20,3.27577479383985e-07
30,1.45567659982008e-07
40,8.18801414959565e-08
50,5.2415733996087e-08
100,1.31004940227477e-08
150,5.81983725512933e-09
200,3.25391386632441e-09
250,2.09075166725763e-09
300,1.44915520698578e-09
350,1.0493751865934e-09
400,8.17410250659014e-10
450,6.3593637265842e-10
500,5.23056123222059e-10
550,4.35153941732621e-10
600,3.5564397008504e-10
650,3.0916971226085e-10
700,3.25958714674137e-10
750,4.18213142773563e-10
800,5.46890397369881e-10
850,8.48824300104157e-10
900,1.3885048189016e-09
