1,-5.3604386528118e-05
10,-5.7775117392904e-07
20,-1.33858573818208e-07
30,-5.93844633436435e-08
40,-3.33678695646668e-08
50,-2.12169167798331e-08
100,-5.71261082059203e-09
150,-2.54805881456864e-09
200,-1.32657949356577e-09
250,-8.20223302942102e-10
300,-4.28744820832631e-10
350,-3.52784611361687e-10
400,-2.52986556128321e-10
450,-1.36489805435501e-10
500,-1.02900398446962e-10
550,-4.38146032260809e-11
600,-1.84748342593662e-12
650,2.2028036691562e-11
700,-4.57735377549921e-12
750,-6.64283940752575e-11
800,-1.50025596783427e-10
850,-3.09018254507158e-10
900,-6.20822148491974e-10
