1,6.28680811696962e-05,0.000184300623366473,0.000246367988746545
10,6.28482894049459e-07,1.84241107757637e-06,2.46319848434176e-06
20,1.57103175069764e-07,4.60538274483899e-07,6.15983871615995e-07
30,6.98087711957213e-08,2.04625826114045e-07,2.73896791614313e-07
40,3.92549145132122e-08,1.15054907894922e-07,1.54146700788136e-07
50,2.51189297451507e-08,7.36171388229353e-08,9.87659460311587e-08
100,6.25793031617069e-09,1.83237778253112e-08,2.49507604257166e-08
150,2.77075045828497e-09,8.10351586025432e-09,1.11846535578852e-08
200,1.56821960370354e-09,4.5872053846959e-09,6.35793252067065e-09
250,9.93076698065378e-10,2.8944970108259e-09,4.26736867795195e-09
300,6.83140013944808e-10,1.98755859585488e-09,3.06197493329154e-09
350,5.0455317674029e-10,1.46628789091956e-09,2.40017536842237e-09
400,3.57922955644945e-10,1.02282653357806e-09,1.99480868323934e-09
450,3.03695114727761e-10,8.80955006604839e-10,1.66972272477068e-09
500,2.50183737007619e-10,7.25077776013663e-10,1.39757940180009e-09
550,1.9980779153624e-10,5.73800370065986e-10,1.35590570572663e-09
600,1.68696494462923e-10,4.83304071471248e-10,1.31911152770098e-09
650,1.44786514146625e-10,4.33529685555406e-10,1.35354461195806e-09
700,1.49664759835844e-10,5.15997584889792e-10,1.34568106082179e-09
750,1.90121581255176e-10,6.53900960254885e-10,1.62159500173566e-09
800,2.77156594206334e-10,9.50163805357746e-10,2.13100346194553e-09
850,5.38185137446384e-10,1.83967382130916e-09,3.67461702679859e-09
900,5.80833862008392e-09,1.97656719431497e-08,3.58519146288413e-08
