1,0.000184300623366473
10,1.84241107757637e-06
20,4.60538274483899e-07
30,2.04625826114045e-07
40,1.15054907894922e-07
50,7.36171388229353e-08
100,1.83237778253112e-08
150,8.10351586025432e-09
200,4.5872053846959e-09
250,2.8944970108259e-09
300,1.98755859585488e-09
350,1.46628789091956e-09
400,1.02282653357806e-09
450,8.80955006604839e-10
500,7.25077776013663e-10
550,5.73800370065986e-10
600,4.83304071471248e-10
650,4.33529685555406e-10
700,5.15997584889792e-10
750,6.53900960254885e-10
800,9.50163805357746e-10
850,1.83967382130916e-09
900,1.97656719431497e-08
