1,2.64853514605031e-08
6,2.57279914769533e-08
11,2.49710992780117e-08
16,2.42129139929718e-08
21,2.34561925847027e-08
26,2.26988006010066e-08
31,2.19414423972066e-08
36,2.11840593180886e-08
41,2.04266708645516e-08
